index,array,name,base_name,status,reason,source,parfile,timfile,policy,priority_order
,EPTA,J0030+0451,J0030+0451,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J0030+0451/J0030+0451.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J0030+0451/J0030+0451_all.tim,unique_only_reduced_3array_development,
,EPTA,J0613-0200,J0613-0200,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J0613-0200/J0613-0200.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J0613-0200/J0613-0200_all.tim,unique_only_reduced_3array_development,
,EPTA,J0900-3144,J0900-3144,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J0900-3144/J0900-3144.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J0900-3144/J0900-3144_all.tim,unique_only_reduced_3array_development,
,EPTA,J1012+5307,J1012+5307,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1012+5307/J1012+5307.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1012+5307/J1012+5307_all.tim,unique_only_reduced_3array_development,
,EPTA,J1022+1001,J1022+1001,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1022+1001/J1022+1001.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1022+1001/J1022+1001_all.tim,unique_only_reduced_3array_development,
,EPTA,J1024-0719,J1024-0719,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1024-0719/J1024-0719.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1024-0719/J1024-0719_all.tim,unique_only_reduced_3array_development,
,EPTA,J1455-3330,J1455-3330,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1455-3330/J1455-3330.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1455-3330/J1455-3330_all.tim,unique_only_reduced_3array_development,
,EPTA,J1600-3053,J1600-3053,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1600-3053/J1600-3053.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1600-3053/J1600-3053_all.tim,unique_only_reduced_3array_development,
,EPTA,J1640+2224,J1640+2224,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1640+2224/J1640+2224.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1640+2224/J1640+2224_all.tim,unique_only_reduced_3array_development,
,EPTA,J1713+0747,J1713+0747,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1713+0747/J1713+0747.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1713+0747/J1713+0747_all.tim,unique_only_reduced_3array_development,
,EPTA,J1730-2304,J1730-2304,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1730-2304/J1730-2304.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1730-2304/J1730-2304_all.tim,unique_only_reduced_3array_development,
,EPTA,J1738+0333,J1738+0333,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1738+0333/J1738+0333.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1738+0333/J1738+0333_all.tim,unique_only_reduced_3array_development,
,EPTA,J1744-1134,J1744-1134,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1744-1134/J1744-1134.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1744-1134/J1744-1134_all.tim,unique_only_reduced_3array_development,
,EPTA,J1751-2857,J1751-2857,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1751-2857/J1751-2857.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1751-2857/J1751-2857_all.tim,unique_only_reduced_3array_development,
,EPTA,J1843-1113,J1843-1113,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1843-1113/J1843-1113.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1843-1113/J1843-1113_all.tim,unique_only_reduced_3array_development,
,EPTA,J1857+0943,J1857+0943,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1857+0943/J1857+0943.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1857+0943/J1857+0943_all.tim,unique_only_reduced_3array_development,
,EPTA,J1909-3744,J1909-3744,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1909-3744/J1909-3744.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1909-3744/J1909-3744_all.tim,unique_only_reduced_3array_development,
,EPTA,J1910+1256,J1910+1256,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1910+1256/J1910+1256.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1910+1256/J1910+1256_all.tim,unique_only_reduced_3array_development,
,EPTA,J1911+1347,J1911+1347,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1911+1347/J1911+1347.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1911+1347/J1911+1347_all.tim,unique_only_reduced_3array_development,
,EPTA,J1918-0642,J1918-0642,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1918-0642/J1918-0642.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1918-0642/J1918-0642_all.tim,unique_only_reduced_3array_development,
,EPTA,J2124-3358,J2124-3358,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J2124-3358/J2124-3358.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J2124-3358/J2124-3358_all.tim,unique_only_reduced_3array_development,
,EPTA,J2322+2057,J2322+2057,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J2322+2057/J2322+2057.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J2322+2057/J2322+2057_all.tim,unique_only_reduced_3array_development,
,PPTA,J0030+0451,J0030+0451,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J0030+0451.par,data/PPTA_DR3_github/analysis_codes/data/all/J0030+0451.tim,unique_only_reduced_3array_development,
